S/N,List Year,Date Recorded,Town,Address,Property Type,Assessed Value,Sale Amount
1,2021,1/1/2022,Somers,14 BUGBEE LANE,Residential,"114,400","295,000"
2,2021,1/3/2022,Bloomfield,16 NORTHWOOD DRIVE,Industrial,"487,060","710,000"
3,2021,1/3/2022,Bristol,82 FAIRFIELD ST,Residential,"122,780","236,000"
4,2021,1/3/2022,Guilford,234 MULBERRY POINT RD,Residential,"177,800","449,000"
5,2021,1/3/2022,East Hampton,51 MAIN ST,Residential,"144,670","155,000"
6,2021,1/3/2022,Berlin,45 ROBINDALE DR,Residential,"188,200","355,000"
7,2021,1/3/2022,Middletown,399 DEKOVEN DR,Apartments,"193,570","513,000"
8,2021,1/3/2022,Ansonia,7 BERKSHIRE RD,Residential,"116,200","204,000"
9,2021,1/3/2022,Avon,571 COUNTRY CLUB ROAD,Residential,"232,840","300,000"
10,2021,1/3/2022,Bloomfield,12 SHIBAH WAY,Residential,"203,210","619,000"
11,2021,1/3/2022,Fairfield,127 ROWLAND ROAD,Residential,"506,450","1,124,000"
12,2021,1/3/2022,Granby,3 CLEMONS SPRING RD,Residential,"340,130","585,000"
13,2021,1/3/2022,Canton,51 SEXTON HOLLOW ROAD,Residential,"206,840","355,000"
14,2021,1/3/2022,Essex,74 SAYBROOK RD,Residential,"382,000","875,000"
15,2021,1/3/2022,New Britain,86 MAPLEHURST AVE,Residential,"128,170","150,000"
16,2021,1/3/2022,Danbury,1 GROVE PL,Residential,"148,700","176,000"
17,2021,1/3/2022,Hamden,25 SUNWOODS CR,Residential,"141,400","241,000"
18,2021,1/3/2022,Killingly,70 PEEPTOAD RD,Residential,"294,270","499,900"
19,2021,1/3/2022,Easton,30 TUCKAHOE ROAD,Residential,"717,850","1,107,000"
20,2021,1/3/2022,Bristol,155 REDSTONE HILL RD #194,Residential,"68,950","140,000"
21,2021,1/3/2022,New Canaan,60 BOWERY RD,Residential,"1,463,350","2,850,000"
22,2021,1/3/2022,Ledyard,1657 ROUTE 12,Commercial,"3,072,020","4,313,773"
23,2021,1/3/2022,Danbury,136 PEMBROKE R 4-27 & GAR 130,Residential,"87,100","180,000"
24,2021,1/3/2022,Bridgeport,36 MONROE ST #38,Residential,"201,600","475,000"
25,2021,1/3/2022,Hamden,1677 STATE ST,Residential,"103,390","245,000"
26,2021,1/3/2022,New Britain,59 ROBERTS ST,Residential,"116,060","174,900"
27,2021,1/3/2022,Essex,85 RIVER RD H-7,Residential,"134,400","298,000"
28,2021,1/3/2022,Hamden,355 DUNBAR HILL RD,Residential,"156,450","290,000"
29,2021,1/3/2022,Madison,230 NECK RD,Residential,"154,400","285,000"
